#OTU ID	Bn27	Bn28	Bn31	Bn32	Bn35	Bn36	Bn63	Bn64	Bn67	Bn68	Bn71	Bn72
OTU589	4	5	1	13	8	22	5	7	0	2	14	11
OTU804	0	0	0	0	2	2	0	0	0	0	1	4
OTU1810	2	1	2	0	0	0	0	2	1	0	0	1
OTU204	6	6	6	10	4	8	3	9	4	8	11	5
OTU1681	0	3	0	5	2	3	4	3	0	4	2	1
OTU857	1	3	2	3	1	4	2	3	2	2	5	3
OTU559	10	8	2	4	6	3	7	11	13	6	18	5
OTU1752	0	0	0	0	0	0	1	2	0	0	0	0
OTU1677	0	1	0	1	0	0	0	0	0	0	0	0
OTU2098	0	0	0	0	0	0	1	0	0	0	0	0
OTU1603	0	0	0	1	0	0	0	0	0	0	0	0
OTU1514	1	0	0	0	0	0	0	0	0	0	0	0
OTU1104	0	0	1	0	0	0	0	0	0	0	0	1
OTU500	12	12	14	11	4	10	13	4	10	12	6	8
OTU133	11	12	19	10	5	4	3	8	1	6	1	4
OTU687	0	0	0	0	0	0	1	0	0	0	0	0
OTU187	3	2	3	0	0	0	3	3	4	0	3	0
OTU301	6	5	0	5	1	1	6	3	4	3	0	3
OTU826	1	5	7	3	3	2	2	4	3	2	1	0
OTU205	2	2	6	4	5	1	3	0	1	4	0	3
OTU68	7	11	13	8	19	14	5	4	14	2	5	4
OTU753	7	2	1	3	2	0	5	1	1	0	1	0
OTU390	3	1	1	1	7	2	1	2	6	0	0	8
OTU21	5	1	13	0	62	0	6	4	35	0	0	1
OTU1179	0	0	0	1	4	2	6	1	0	0	1	2
OTU651	1	0	0	0	2	4	0	1	0	0	0	2
OTU634	2	4	1	1	0	3	1	5	0	2	2	0
OTU946	6	4	3	8	0	1	9	13	5	9	2	4
OTU1787	0	2	0	8	1	1	2	3	1	1	2	3
OTU2118	0	0	0	0	0	0	0	1	0	4	0	0
OTU1016	0	0	0	2	2	0	2	0	0	3	0	0
OTU105	14	35	27	19	9	10	39	17	29	30	3	5
OTU140	1	5	19	4	2	3	8	4	4	7	2	0
OTU122	5	11	4	9	0	0	11	11	16	17	0	0
