#OTU ID	Bn25	Bn26	Bn29	Bn30	Bn33	Bn34	Bn61	Bn62	Bn65	Bn66	Bn69	Bn70
OTU1080	0	7	0	7	0	7	0	53	0	39	0	48
OTU397	0	7	0	1	0	4	0	46	0	42	0	15
OTU352	1	0	0	3	7	0	7	2	0	15	0	4
OTU2001	0	7	0	5	0	4	0	12	0	16	0	15
OTU1975	0	0	0	0	0	0	0	0	0	0	0	2
OTU1428	0	0	0	1	0	0	0	9	0	17	0	2
OTU859	0	0	0	0	0	2	0	5	0	5	0	3
OTU1102	0	2	0	1	0	2	0	9	0	6	0	11
OTU440	0	5	0	1	0	7	0	12	2	46	0	0
OTU76	37	2	6	0	17	1	21	10	53	0	27	2
OTU129	14	0	15	0	5	0	18	10	19	2	4	0
OTU213	0	13	33	6	2	15	0	3	0	0	2	0
OTU2208	5	0	7	0	11	3	23	2	14	0	10	1
OTU278	0	0	0	0	1	1	0	2	0	2	0	0
OTU1300	0	0	0	0	0	0	0	0	0	0	0	6
OTU1195	0	0	0	2	0	1	7	0	0	3	0	0
OTU1033	0	0	0	0	0	0	0	0	0	1	0	0
OTU97	0	3	0	3	0	1	0	0	0	0	0	0
OTU185	24	15	0	14	1	12	0	23	0	0	10	2
OTU38	198	14	33	23	6	21	15	67	4	0	157	3
OTU98	10	195	1	168	0	227	0	4	3	27	3	2
OTU1613	0	3	4	1	0	3	0	23	0	1	1	2
OTU25	1368	181	156	152	51	165	0	1	8	0	107	8
OTU32	557	432	98	441	31	400	148	172	61	48	396	66
OTU154	0	101	1	91	0	114	0	22	0	0	0	4
OTU365	0	0	0	0	0	0	0	0	0	3	0	0
OTU1417	28	0	2	0	1	0	0	0	0	0	14	4
OTU1856	0	0	0	1	0	0	0	1	0	0	0	0
OTU15	13	803	6	954	2	919	4	7	4	6	6	162
OTU29	177	183	88	195	104	211	400	15	195	7	309	227
OTU2065	0	16	0	13	0	16	2	3	0	4	0	44
OTU2022	0	7	0	4	0	7	0	2	0	0	1	1
OTU18	261	684	349	680	93	659	149	319	241	24	340	789
OTU2006	0	0	0	0	0	0	0	0	0	0	0	1
OTU2013	0	0	0	0	0	0	0	1	0	0	0	0
OTU1219	0	1	1	1	1	0	0	0	0	0	0	0
OTU1260	0	0	0	0	1	0	0	0	0	0	0	0
OTU1189	0	3	0	0	0	0	0	2	0	0	0	0
OTU1169	0	0	0	1	0	0	0	0	0	0	0	0
OTU1628	0	0	0	0	0	2	0	0	0	0	0	0
OTU1293	0	5	0	4	0	5	0	1	0	6	0	1
OTU146	0	65	0	54	0	66	0	0	0	0	0	0
OTU33	0	76	617	55	21	71	19	6	303	9	1	8
OTU1187	0	0	0	0	0	0	0	0	0	0	0	2
OTU1167	0	0	0	0	0	0	0	0	0	0	0	10
OTU1250	0	0	0	0	0	0	0	0	0	14	0	26
OTU400	0	3	0	0	0	0	0	2	0	3	0	0
OTU319	0	1	0	0	0	3	0	15	0	45	0	0
OTU622	0	0	0	0	0	0	0	0	0	2	0	0
OTU1820	0	0	0	0	0	0	0	1	0	0	0	0
OTU458	0	0	0	0	0	1	0	4	0	3	0	0
OTU727	0	2	0	8	0	7	0	14	0	7	0	2
OTU156	488	0	60	0	30	0	34	0	45	7	91	65
OTU20	176	568	102	563	34	613	67	336	86	10	114	224
OTU591	0	0	0	2	0	0	0	0	0	0	0	0
OTU1977	0	0	0	0	0	0	0	0	0	0	0	1
OTU2147	0	7	0	9	0	3	0	17	0	21	0	11
OTU165	0	2	0	4	1	1	0	4	0	5	0	3
OTU1552	0	0	0	1	0	0	0	0	0	0	0	0
OTU333	0	0	0	2	0	2	0	3	0	3	0	20
OTU1334	2	3	0	1	0	4	0	2	0	0	0	0
OTU746	0	1	0	1	0	2	0	6	0	6	0	3
OTU1645	0	0	0	0	0	0	0	0	0	2	0	10
OTU544	0	0	0	0	0	0	0	2	0	2	0	2
